2024학년도 1학기 학부 개설강좌 일람표,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,('24. 1. 24. 14시 기준)
연번,대학명,학과(부),주관학과명,학년,교과목코드,분반,교과목명,교과구분,학점,이론,실습,교수명,제한인원,시간표,교양영역명,원어강의,팀티칭,원격수업,비고
1,본부,,교육혁신과,전학년,ZF1200700,001,브릿지기초기하,교양선택,1,1,0,이진기,1000,토 09:00(50)(외부)plato.pusan.ac.kr,8영역 : 효원브릿지,,N,Y,원격(비실시간)
2,본부,,교육혁신과,전학년,ZF1200701,001,브릿지기초미적분,교양선택,1,1,0,이진기,1000,토 10:00(50)(외부)plato.pusan.ac.kr,8영역 : 효원브릿지,,N,Y,원격(비실시간)
3,본부,,교육혁신과,전학년,ZF1200702,001,브릿지기초확률과통계,교양선택,1,1,0,이진기,1000,토 11:00(50)(외부)plato.pusan.ac.kr,8영역 : 효원브릿지,,N,Y,원격(비실시간)
4,본부,,교육혁신과,전학년,ZF1200703,001,브릿지기초물리(I),교양선택,1,1,0,차명식/양임정,1000,토 10:00(50)(외부)plato.pusan.ac.kr,8영역 : 효원브릿지,,Y,Y,원격(비실시간)
5,본부,,교육혁신과,전학년,ZF1200704,001,브릿지기초물리(II),교양선택,1,1,0,이주연,1000,토 11:00(50)(외부)plato.pusan.ac.kr,8영역 : 효원브릿지,,Y,Y,원격(비실시간)
6,본부,,교육혁신과,전학년,ZF1200705,001,브릿지기초화학,교양선택,1,1,0,임만호/박강현/홍대화/남기민/최정모,1000,토 13:00(50)(외부)plato.pusan.ac.kr,8영역 : 효원브릿지,,Y,Y,원격(비실시간)
7,본부,,교육혁신과,전학년,ZF1200782,001,브릿지기초논리,교양선택,1,1,0,김현수/조창오/박효엽,1000,토 14:00(50)(외부)plato.pusan.ac.kr,8영역 : 효원브릿지,,Y,Y,원격(비실시간)
8,본부,,교육혁신과,전학년,EA1101029,001,수목보호학,일반선택,3,3,0,,20,토 11:00-14:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
9,본부,,교육혁신과,전학년,EA1101030,001,트랜스미디어스토리텔링,일반선택,3,3,0,,20,토 18:00-21:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
10,본부,,교육혁신과,전학년,EA1101053,001,혁신을위한모순해결,일반선택,2,2,0,,20,토 17:00(100)(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
